Order,variable,domain,type,stat_label,question,PRG,DSA,LIB,SD,STY,CTR,REF,CON,NAT,SD/LIB,SD/STY,STY/SD,LIB/CTR,SD/CTR,SD/CON,CON/SD,STY/CON,CON/STY,STY/REF,CON/CTR,REF/STY,CON/REF,CON/NAT,Max,Mid,Low
95,CC24_441f,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Whites get away with offenses that African Americans wouldn't,1.2437,1.2969,1.5717,1.8294,2.0119,2.4389,2.9934,2.9596,4.2954,1.7006,1.8899,1.9206,1.9186,2.1341,2.371,2.4561,2.3983,2.5616,2.4536,2.7633,2.6313,2.9701,3.6141,,,
293,CC24_441f,Racial & Gender,binary_agree,% Agreeing,Whites get away with offenses that African Americans wouldn't,97.46,94.3,86.9,78.7,69.24,60.28,39.37,39.3,9.56,82.8,75.563,73.97,76.252,69.49,59.8195,56.8527,57.0334,51.8748,55.7985,47.2074,50.389,39.3217,24.7274,,,
101,CC24_441g,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Whites don't understand the problems African Americans face,1.5086,1.567,1.9435,2.1455,2.2023,2.613,3.0188,2.9019,3.9943,2.0445,2.1643,2.1739,2.2113,2.3792,2.508,2.5649,2.4875,2.6081,2.5697,2.793,2.7176,2.9381,3.4372,,,
294,CC24_441g,Racial & Gender,binary_agree,% Agreeing,Whites don't understand the problems African Americans face,92.23,85.14,74.73,63.43,60.08,52.24,34.02,36.84,7.25,69.08,62.3192,61.755,65.734,57.835,50.6881,48.6859,50.605,46.6008,48.353,42.6443,43.6336,35.9658,22.3409,,,
107,CC24_445a,Racial & Gender,binary_agree,% Agreeing,SCOTUS: Race in admissions violates Equal Protection (Agree/Disagree),15.0246,30.5111,41.635,55.6298,71.2793,79.6506,83.6675,84.8388,91.0881,48.6324,60.8192,63.4546,56.8412,67.6402,69.6268,71.8262,76.8075,79.1438,76.854,82.8834,79.0975,84.4757,87.901,,,
108,CC24_445b,Racial & Gender,binary_agree,% Agreeing,SCOTUS: Constitution doesn't protect abortion; Roe overruled (Agree/Disagree),4.9538,10.3602,17.128,31.314,51.2356,64.6591,76.8646,79.4661,94.9028,24.221,37.92,41.2748,36.1404,47.9865,54.3885,58.0143,62.7452,67.6093,62.7686,73.8853,67.4101,78.6596,87.0301,,,
109,CC24_421_1,Elections & Trust,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Elections in the U.S. are fair,1.6584,3.2445,1.4053,2.3782,3.0445,1.4932,3.0863,2.3808,2.8104,1.8918,2.5991,2.7114,1.4405,1.9357,2.3794,2.3796,2.7739,2.6596,3.0633,2.0463,3.0709,2.5995,2.5913,,,
115,CC24_421_2,Elections & Trust,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",2024 state/local election was fair,1.0109,2.4948,1.0048,1.8687,2.8158,1.0312,2.8203,1.8351,2.3298,1.4367,2.1828,2.3422,1.0154,1.4499,1.8526,1.8501,2.416,2.247,2.8178,1.5321,2.8186,2.1405,2.0775,,,
121,CC24_423,Elections & Trust,trust,Weighted mean,Trust in federal government (1=Great deal … 4=None at all),2.6714,3.0138,2.4015,2.5967,2.7274,2.1954,3.0608,2.7572,3.1769,2.4991,2.64,2.662,2.3191,2.396,2.6736,2.6857,2.7395,2.7447,2.8774,2.5455,2.9378,2.8513,2.9629,,,
126,CC24_424,Elections & Trust,trust,Weighted mean,Trust in state government (1=Great deal … 4=None at all),2.2008,2.8161,2.1221,2.3903,2.6656,2.0054,2.8783,2.4074,2.7697,2.2562,2.4816,2.5279,2.0754,2.1978,2.3985,2.3998,2.5603,2.5158,2.7613,2.2559,2.7998,2.5534,2.5849,,,
146,pew_churatd,Religion,ordinal,Weighted mean,Church attendance (1=More than once/week … 6=Never),5.166,5.2493,4.8051,4.8238,3.9597,3.7676,4.1155,3.8983,3.8532,4.8145,4.5373,4.3918,4.3901,4.2957,4.3803,4.3106,3.9347,3.9241,4.0298,3.849,4.058,3.9656,3.8762,,,
153,pew_religimp,Religion,ordinal,Weighted mean,Importance of religion (1=Very important … 4=Not at all important),3.2704,3.2743,2.7807,2.6814,2.0918,1.9027,2.0313,1.8674,1.8132,2.731,2.4859,2.3866,2.4295,2.2921,2.2913,2.23,2.0003,1.9616,2.0646,1.8807,2.0536,1.9182,1.8408,,,
158,pew_bornagain,Religion,binary,% Supporting,Born-again or evangelical Christian,4.2843,7.2874,14.1411,19.1665,37.7053,43.0441,39.8736,42.5602,47.6868,16.6538,25.314,28.4359,25.7023,31.1053,30.3768,32.1383,39.6846,40.5211,38.681,42.7426,39.0737,41.7274,45.0722,,,
178,gender4,Demographics,categorical_dist,% Man,Gender,53.05,32.81,51.95,44.62,39.27,54.4,51.21,48.95,63.64,48.285,42.8459,41.945,52.93,49.51,46.6949,47.021,43.2165,44.8844,44.643,51.0041,46.8053,49.6506,56.1481,,,
179,gender4,Demographics,categorical_dist,% Woman,Gender,45.13,61.35,47.8,54.82,60.37,45.48,48.69,50.85,36.1,51.31,56.6604,57.595,46.872,50.15,52.9176,52.6186,56.4887,54.8484,55.114,48.826,52.9988,50.1804,43.6225,,,
180,gender4,Demographics,categorical_dist,% Non-binary,Gender,1.18,5.62,0.19,0.54,0.36,0.03,0.06,0.08,0,0.365,0.4803,0.45,0.126,0.285,0.3196,0.2849,0.2458,0.1976,0.225,0.0612,0.1707,0.0738,0.0408,,,
181,gender4,Demographics,categorical_dist,% Other,Gender,0.64,0.21,0.06,0.01,0,0.09,0.04,0.12,0.25,0.035,0.0067,0.005,0.072,0.05,0.0627,0.071,0.0489,0.0696,0.018,0.1087,0.0252,0.0952,0.1837,,,
182,race,Demographics,categorical_dist,% White,Race/ethnicity,76.31,65.87,69.36,56.7,43.36,66.18,70.24,78.39,81.17,63.03,52.2765,50.03,68.088,61.44,67.0938,68.7271,57.6417,63.6774,55.456,73.7881,60.324,75.8635,79.7522,,,
183,race,Demographics,categorical_dist,% Black,Race/ethnicity,5.65,10.48,12.02,16.39,27.29,11.87,9.48,5.96,1.12,14.205,20.0044,21.84,11.96,14.13,11.3919,10.6066,18.5938,14.9186,19.2755,8.1875,16.0501,7.0512,3.5884,,,
184,race,Demographics,categorical_dist,% Hispanic,Race/ethnicity,8.45,10.33,9.22,13.07,15.12,9.72,8.26,6.69,5.31,11.145,13.7498,14.095,9.42,11.395,10.0127,9.5323,11.6831,10.2306,12.033,7.832,10.7907,7.1767,6.0138,,,
185,race,Demographics,categorical_dist,% Asian,Race/ethnicity,3.04,4.22,4.54,6.23,5.14,4.37,2.79,4.05,1.87,5.385,5.8686,5.685,4.472,5.3,5.1853,5.0212,4.6956,4.5078,4.0825,4.1706,3.6569,3.6594,2.9818,,,
186,race,Demographics,categorical_dist,% Native American,Race/ethnicity,0.1,1.04,0.54,0.72,1.65,1.42,1.71,1.05,2.22,0.63,1.0284,1.185,0.892,1.07,0.8781,0.903,1.4054,1.302,1.677,1.1895,1.6879,1.2546,1.6233,,,
187,race,Demographics,categorical_dist,% Multiracial,Race/ethnicity,4.97,6.64,2.85,5.21,5.41,4,3.91,2.3,4.12,4.03,5.2763,5.31,3.31,4.605,3.8155,3.5964,4.1421,3.6062,4.735,2.9407,4.4634,2.7991,3.1918,,,
