diagnostic,phase,candidate_code,candidate_name,raw_votes,vote_pct,status,pod,votes_from_pod,pod_total_votes,pct_of_pod,finalist_national_total,pct_of_finalist_total,straddler_code,straddler_name,platonic_code,platonic_name,platonic_secondary_code,straddler_pct,platonic_pct,platonic_secondary_pct,delta_vs_primary,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_STY,SD/STY,After_Retail_Six,surplus,ZN,DSA,3.4201,1.66,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_STY,SD/STY,After_Retail_Six,surplus,BE,NAT,3.4192,1.66,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_REF,STY/REF,After_Pod_A,surplus,CON_STY,CON/STY,31.5568,2.65,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_REF,STY/REF,After_Pod_A,surplus,STY_SD,STY/SD,26.1483,2.19,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_REF,STY/REF,After_Pod_A,surplus,SD_STY,SD/STY,20.2374,1.7,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_REF,STY/REF,After_Pod_BD,surplus,CON_STY,CON/STY,132.9508,1.7,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_REF,STY/REF,After_Pod_BD,surplus,CON_REF,CON/REF,82.403,1.05,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_REF,STY/REF,After_Pod_C,surplus,CON_REF,CON/REF,9.5339,0.4,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_REF,STY/REF,After_Pod_C,surplus,CON_STY,CON/STY,5.0737,0.21,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_REF,STY/REF,After_Pod_C,surplus,STY_SD,STY/SD,4.8538,0.2,,,,,,,,,,
