variable,domain,type,stat_label,question,overall,CON,SD,STY,REF,CTR,LIB,CON/CTR,CON/SD,CON/STY,SD/STY,SD/CON,SD/CTR,SD/LIB,STY/REF,STY/SD,STY/CON,REF/STY,CON/REF,CON/NAT,LIB/CTR,REF/SD,CTR/LIB,PRG/DSA,cond_chamber,irv_chamber,cond_pure_chamber,irv_pure_chamber,cond_bloc1,cond_bloc2,cond_bloc3,cond_bloc4,irv_bloc1,irv_bloc2,irv_bloc3,irv_bloc4
CC24_325,Abortion,continuous,Median,Abortion: how many weeks should it be legal,13.0,10.0,18.0,13.0,8.0,12.0,24.0,10.7538,13.564,11.26,16.342,14.1664,15.0,21.0,10.75,15.5,11.7769,9.8445,9.38,8.53,19.2,12.5,18.0,30.8,13.6746,13.969,13.6471,13.0196,10.75,11.4094,15.0566,18.75,9.6125,11.2612,12.3133,17.2022
CC24_325,Abortion,continuous,Q25,Abortion: how many weeks should it be legal,6.0,4.0,10.0,6.0,1.0,4.0,16.0,4.0,6.673,4.84,8.6736,7.1248,7.0,13.0,3.75,8.0,5.1846,2.8445,3.07,2.04,11.2,5.05,10.0,22.8,6.5944,6.84,6.2157,5.7255,3.75,4.7881,7.6453,10.75,3.4188,4.7158,5.4741,9.3993
CC24_325,Abortion,continuous,Q75,Abortion: how many weeks should it be legal,24.0,15.0,26.0,23.0,14.0,19.0,36.0,16.5076,19.9005,18.36,25.0052,20.7288,22.5,31.0,18.95,24.5,19.7384,17.3201,14.69,13.53,29.2,19.4,27.5,40.0,21.0859,21.2964,21.1765,20.2157,18.95,17.5647,24.234,27.25,14.8062,18.6881,18.3983,25.7214
CC24_324b,Abortion,binary,% Supporting,Permit abortion only in rape/incest/life danger cases,51.3964,72.6163,36.9495,56.8046,60.3942,65.4458,25.7348,69.9137,56.7267,65.9754,43.5335,54.041,51.1977,31.3422,58.4199,46.877,63.251,59.07,68.8274,72.4325,41.6192,49.8441,45.5903,8.5459,55.2559,54.766,55.9778,57.5588,58.4199,64.5255,48.6378,35.5477,70.2482,64.2621,62.6064,40.5115
CC24_340b,Abortion,binary,% Supporting,Prohibit restrictions on abortion access (Congress bill),63.0207,48.7144,82.7413,53.177,43.5041,53.8649,88.8153,50.6556,63.8734,50.5887,72.9378,66.4356,68.3031,85.7783,48.8242,67.9591,51.3576,47.0724,47.0992,40.2888,74.8351,61.1608,71.3401,95.1886,61.8718,62.5093,61.6772,59.6594,48.8242,53.8809,65.3375,83.5006,47.7049,50.4228,57.97,77.1055
CC24_444c,Abortion,binary,% Supporting,Prohibit abortion-inducing drugs by mail,41.2474,63.5861,22.9448,39.0023,58.7169,54.5528,11.1838,60.1814,45.4804,53.2609,28.2695,42.4201,38.7488,17.0643,47.8739,30.9735,49.0251,51.4442,62.0766,69.0201,28.5314,42.6195,32.8683,2.1607,42.9547,42.8256,43.2632,45.8889,47.8739,54.3799,32.3975,21.4747,62.6427,51.6571,52.0301,25.7414
CC24_444d,Abortion,binary,% Supporting,Prohibit women traveling to another state for abortion,18.4855,27.1627,8.8986,25.6106,26.8387,28.0167,3.6846,27.4846,19.026,26.5108,14.4403,17.6508,18.4577,6.2916,26.1632,17.2546,26.2434,26.3857,27.0623,27.2071,13.4174,18.7657,15.8506,0.2395,20.2266,19.9576,21.3733,22.0978,26.1632,24.517,18.7366,8.2468,27.1,26.4083,22.8242,12.0288
CC24_340c,Civil Liberties,binary,% Supporting,Federal recognition of same-sex & interracial marriages,66.0666,47.846,95.9375,54.3011,43.4016,55.8161,97.2584,50.8499,69.2708,50.5571,82.1309,72.8921,75.8768,96.5979,49.3963,75.1193,51.6694,47.4224,46.4682,37.4065,80.6815,67.0428,76.5372,99.4804,66.3902,67.0218,66.4562,63.7432,49.3963,55.4554,71.4271,96.1026,46.9849,50.549,61.0474,87.7743
CC24_340d,Civil Liberties,binary,% Supporting,Ban TikTok unless China sells to a US company,55.4871,73.6451,44.4839,40.7118,54.7864,62.4261,52.3658,69.4167,60.6538,59.8131,43.2331,58.4579,53.455,48.4248,47.0454,42.5978,54.1387,49.5943,67.7989,75.2215,56.3899,50.1503,57.396,28.7496,55.2108,55.6357,54.3695,56.1352,47.0454,63.8978,42.2634,45.4691,69.9912,56.7394,64.5293,43.9869
CC24_340e,Civil Liberties,binary,% Supporting,Renew post-9/11 surveillance programs,34.0178,45.1447,36.4273,30.2967,21.3699,45.6591,43.0105,45.3386,41.2611,38.9085,34.3944,40.6047,41.0432,39.7189,26.2796,33.362,36.3502,24.663,37.7745,27.6777,44.0699,28.1457,44.3348,8.1282,37.9738,38.071,39.1836,38.689,26.2796,40.5868,32.8184,37.2502,40.5383,36.3773,43.0925,35.425
CC24_444a,Civil Liberties,binary,% Supporting,Prevent gender transition surgery for minors,60.1484,78.1244,48.9304,60.1361,78.3789,72.2826,32.5615,75.9226,65.1185,70.5693,52.6462,62.9202,60.6065,40.746,68.3454,54.5332,67.4699,71.6491,78.2033,83.4088,48.4499,65.1271,52.422,17.3855,63.173,62.7752,63.7252,65.8195,68.3454,71.8353,55.5269,46.8843,78.1737,69.6821,69.9359,50.627
CC24_444b,Civil Liberties,binary,% Supporting,Parental consent for name/pronoun changes at school,62.7367,85.3977,45.6794,63.6007,85.0514,75.434,34.6172,81.6424,67.7032,76.243,51.6221,64.7124,60.5567,40.1483,73.2535,54.6401,72.4873,77.1382,85.2903,89.7659,50.9439,67.334,55.0256,8.8707,65.8927,65.2884,65.7258,68.5086,73.2535,76.8846,56.2293,44.2966,85.3306,75.1188,73.9066,48.8651
CC24_444e,Civil Liberties,binary,% Supporting,Age verification for adult web content,78.7779,88.5785,75.2629,77.5991,78.8884,83.4249,72.9322,86.6361,82.6464,83.9672,76.0376,81.6437,79.3439,74.0975,78.1793,76.431,82.0754,78.4128,85.5746,87.8329,77.1293,77.2569,78.1786,54.9832,80.6998,80.4712,80.5425,81.1273,78.1793,84.4389,76.6382,74.9716,86.7011,82.6873,84.4107,75.6504
CC24_444f,Civil Liberties,binary,% Supporting,School voucher subsidies,56.1512,70.5407,44.454,61.4132,71.3714,65.6888,26.5249,68.712,58.9191,66.7071,50.0777,56.9547,55.0714,35.4894,65.8944,52.9336,65.1345,67.6978,70.7982,78.5991,42.1905,59.2586,46.1068,18.4909,58.5326,57.9413,59.1562,60.7763,65.8944,65.6861,54.4375,42.2129,70.7016,66.3096,63.2878,47.2355
CC24_326a,Environment & Climate,binary,% Supporting,Give EPA power to regulate CO2 emissions,62.3942,39.213,88.7817,67.2327,31.6727,63.453,95.241,48.3491,61.2959,50.9813,81.6361,65.0284,76.1174,92.0113,51.2307,78.0072,55.8091,44.7908,36.8755,22.414,82.5258,57.3717,79.347,98.1373,63.6556,64.1287,67.2396,62.8028,51.2307,50.2407,76.0963,89.5891,37.7521,51.8275,55.6076,84.7373
CC24_326b,Environment & Climate,binary,% Supporting,Require 20% renewable electricity,66.1221,44.5249,90.3056,76.5382,39.5961,67.4679,94.3359,53.1721,64.9202,57.9705,85.7403,68.3675,78.8868,92.3208,59.9143,83.4219,63.4864,53.224,42.997,27.1132,83.5887,62.4154,80.9019,97.7122,68.4293,68.597,71.8159,67.5755,59.9143,55.5261,82.201,90.8094,43.57,59.2138,59.7632,87.7187
CC24_326c,Environment & Climate,binary,% Supporting,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),55.1936,29.6793,77.0459,62.6317,26.8186,51.2673,90.4664,37.8158,50.7811,43.5193,72.2662,54.3478,64.1566,83.7561,46.5158,69.8388,49.197,40.0301,28.7925,17.2818,74.7868,49.4209,70.8668,95.8454,54.7437,55.0535,57.294,53.1294,46.5158,41.0497,68.5606,78.7234,29.125,44.965,45.0715,74.625
CC24_326d,Environment & Climate,binary,% Supporting,Increase fossil fuel production in the U.S.,56.953,85.0649,36.3858,50.0336,74.0844,70.3257,25.9202,79.5097,63.3784,70.3518,40.9114,59.7128,53.3558,31.153,60.8565,43.2097,64.3159,65.2121,81.6609,90.5976,43.6824,57.12,48.123,8.7407,58.8376,58.7412,58.3738,61.5886,60.8565,72.7487,44.4199,35.0776,82.9374,67.7633,70.5416,38.748
