state_fips,state_abbr,winner_code,winner_label,winner_type,winner_primary_cluster,winner_secondary_cluster,runner_up_code,runner_up_label,runner_up_type,runner_up_primary_cluster,runner_up_secondary_cluster,n_irv_rounds,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_pct,finalist_CTR_pct,finalist_DSA_pct,finalist_LIB_pct,finalist_NAT_pct,finalist_PRG_pct,finalist_REF_pct,finalist_SD_pct,finalist_STY_pct
27,MN,STY,STY,pure,2,,CTR,CTR,pure,6,,4,714.01,9,5,,3.8951,,1.5686,,,5.8334,1.5755,3.794
28,MS,CTR,CTR,pure,6,,STY,STY,pure,2,,4,444.25,8,5,3.2414,5.668,,,,,4.2397,2.2433,1.2742
29,MO,CON,CON,pure,0,,CTR,CTR,pure,6,,4,950.73,9,5,2.5275,5.049,,,1.2029,,,4.0215,3.8658
30,MT,CON,CON,pure,0,,REF,REF,pure,5,,4,257.38,9,5,7.228,2.9906,,1.4724,,,2.5865,2.3891,
31,NE,CTR,CTR,pure,6,,LIB,LIB,pure,4,,4,295.91,9,5,0.8622,4.641,,4.2042,,,5.5498,,1.4096
32,NV,STY,STY,pure,2,,NAT,NAT,pure,3,,4,707.53,9,5,5.2901,,1.3715,,5.0317,,,2.5228,2.4506
33,NH,STY,STY,pure,2,,CTR,CTR,pure,6,,4,264.7,9,5,,4.223,2.1113,,,2.6307,4.1807,,3.521
34,NJ,CON,CON,pure,0,,LIB,LIB,pure,4,,4,1162.21,9,5,4.1578,2.6376,,2.4741,,,,2.6814,4.7157
35,NM,SD,SD,pure,1,,CTR,CTR,pure,6,,4,415.1,9,5,1.9582,5.1054,,,,,1.5578,4.624,3.4213
36,NY,CTR,CTR,pure,6,,SD,SD,pure,1,,4,2314.44,9,5,3.5917,3.5561,,3.0986,,,,2.6006,3.8196
37,NC,REF,REF,pure,5,,CON,CON,pure,0,,4,1455.35,9,5,3.2672,,,3.0667,,,3.609,3.6799,3.0438
38,ND,REF,REF,pure,5,,STY,STY,pure,2,,4,112.02,9,5,2.5107,3.0172,,,,,4.9256,3.0243,3.1888
39,OH,CON,CON,pure,0,,REF,REF,pure,5,,4,1727.15,9,5,3.2461,2.2936,,3.0227,,,4.6604,3.4439,
40,OK,REF,REF,pure,5,,CON,CON,pure,0,,4,606.2,8,5,1.8135,1.4272,,,1.359,,5.9324,6.1346,
41,OR,SD,SD,pure,1,,CON,CON,pure,0,,4,861.73,9,5,4.6234,,,2.8477,,1.7142,,3.205,4.2764
42,PA,SD,SD,pure,1,,STY,STY,pure,2,,4,2189.53,9,5,3.332,3.6153,,1.6679,,,,3.8448,4.2066
44,RI,SD,SD,pure,1,,CON,CON,pure,0,,4,163.32,9,5,3.2371,1.7162,,8.4274,,,0.2403,3.0456,
45,SC,STY,STY,pure,2,,CON,CON,pure,0,,4,730.29,9,5,2.8172,2.2583,,3.4477,,,3.2301,,4.9133
46,SD,CON,CON,pure,0,,CTR,CTR,pure,6,,4,141.48,9,5,3.1488,4.8186,,,0.0967,,2.7046,5.898,
47,TN,CTR,CTR,pure,6,,CON,CON,pure,0,,4,1143.42,9,5,2.5338,7.0999,,,2.342,,2.0989,2.5921,
48,TX,CON,CON,pure,0,,SD,SD,pure,1,,4,3555.07,8,5,2.2618,2.3726,,,,,3.8732,4.896,3.2632
49,UT,CTR,CTR,pure,6,,CON,CON,pure,0,,4,462.14,9,5,2.3551,6.7965,2.7185,,,,1.7982,,2.9983
50,VT,CTR,CTR,pure,6,,STY,STY,pure,2,,4,107.67,9,5,,3.5974,,5.4072,,2.5711,,2.7295,2.3614
51,VA,CON,CON,pure,0,,REF,REF,pure,5,,4,1326.72,9,5,4.3413,,3.369,3.1406,,,1.9835,,3.8323
53,WA,SD,SD,pure,1,,STY,STY,pure,2,,4,1221.78,9,5,3.7816,1.7102,,2.8219,,,,4.5089,3.8441
54,WV,CTR,CTR,pure,6,,REF,REF,pure,5,,4,360.26,8,5,3.3483,4.4046,,,,,4.0881,2.1133,2.7124
55,WI,CON,CON,pure,0,,SD,SD,pure,1,,4,969.41,9,5,4.0271,2.0249,,,,,3.189,3.8281,3.5977
56,WY,STY,STY,pure,2,,CTR,CTR,pure,6,,4,98.3,7,5,,4.7356,,0.8268,3.5757,,,2.1114,5.4172
